"","country_region","lat","long","date","status","cases"
"315","Algeria",28.0339,1.6596,"2/20/20","confirmed",0
"316","Algeria",28.0339,1.6596,"2/20/20","deaths",0
"317","Algeria",28.0339,1.6596,"2/21/20","confirmed",0
"318","Algeria",28.0339,1.6596,"2/21/20","deaths",0
"319","Algeria",28.0339,1.6596,"2/22/20","confirmed",0
"320","Algeria",28.0339,1.6596,"2/22/20","deaths",0
"321","Algeria",28.0339,1.6596,"2/23/20","confirmed",0
"322","Algeria",28.0339,1.6596,"2/23/20","deaths",0
"323","Algeria",28.0339,1.6596,"2/24/20","confirmed",0
"324","Algeria",28.0339,1.6596,"2/24/20","deaths",0
"325","Algeria",28.0339,1.6596,"2/25/20","confirmed",1
"326","Algeria",28.0339,1.6596,"2/25/20","deaths",0
"327","Algeria",28.0339,1.6596,"2/26/20","confirmed",1
"328","Algeria",28.0339,1.6596,"2/26/20","deaths",0
"329","Algeria",28.0339,1.6596,"2/27/20","confirmed",1
"330","Algeria",28.0339,1.6596,"2/27/20","deaths",0
"331","Algeria",28.0339,1.6596,"2/28/20","confirmed",1
"332","Algeria",28.0339,1.6596,"2/28/20","deaths",0
"333","Algeria",28.0339,1.6596,"2/29/20","confirmed",1
"334","Algeria",28.0339,1.6596,"2/29/20","deaths",0
"335","Algeria",28.0339,1.6596,"3/1/20","confirmed",1
"336","Algeria",28.0339,1.6596,"3/1/20","deaths",0
"337","Algeria",28.0339,1.6596,"3/2/20","confirmed",3
"338","Algeria",28.0339,1.6596,"3/2/20","deaths",0
"339","Algeria",28.0339,1.6596,"3/3/20","confirmed",5
"340","Algeria",28.0339,1.6596,"3/3/20","deaths",0
"341","Algeria",28.0339,1.6596,"3/4/20","confirmed",12
"342","Algeria",28.0339,1.6596,"3/4/20","deaths",0
"343","Algeria",28.0339,1.6596,"3/5/20","confirmed",12
"344","Algeria",28.0339,1.6596,"3/5/20","deaths",0
"345","Algeria",28.0339,1.6596,"3/6/20","confirmed",17
"346","Algeria",28.0339,1.6596,"3/6/20","deaths",0
"347","Algeria",28.0339,1.6596,"3/7/20","confirmed",17
"348","Algeria",28.0339,1.6596,"3/7/20","deaths",0
"349","Algeria",28.0339,1.6596,"3/8/20","confirmed",19
"350","Algeria",28.0339,1.6596,"3/8/20","deaths",0
"351","Algeria",28.0339,1.6596,"3/9/20","confirmed",20
"352","Algeria",28.0339,1.6596,"3/9/20","deaths",0
"353","Algeria",28.0339,1.6596,"3/10/20","confirmed",20
"354","Algeria",28.0339,1.6596,"3/10/20","deaths",0
"355","Algeria",28.0339,1.6596,"3/11/20","confirmed",20
"356","Algeria",28.0339,1.6596,"3/11/20","deaths",0
"357","Algeria",28.0339,1.6596,"3/12/20","confirmed",24
"358","Algeria",28.0339,1.6596,"3/12/20","deaths",1
"359","Algeria",28.0339,1.6596,"3/13/20","confirmed",26
"360","Algeria",28.0339,1.6596,"3/13/20","deaths",2
"361","Algeria",28.0339,1.6596,"3/14/20","confirmed",37
"362","Algeria",28.0339,1.6596,"3/14/20","deaths",3
"363","Algeria",28.0339,1.6596,"3/15/20","confirmed",48
"364","Algeria",28.0339,1.6596,"3/15/20","deaths",4
"365","Algeria",28.0339,1.6596,"3/16/20","confirmed",54
"366","Algeria",28.0339,1.6596,"3/16/20","deaths",4
"367","Algeria",28.0339,1.6596,"3/17/20","confirmed",60
"368","Algeria",28.0339,1.6596,"3/17/20","deaths",4
"369","Algeria",28.0339,1.6596,"3/18/20","confirmed",74
"370","Algeria",28.0339,1.6596,"3/18/20","deaths",7
"371","Algeria",28.0339,1.6596,"3/19/20","confirmed",87
"372","Algeria",28.0339,1.6596,"3/19/20","deaths",9
"373","Algeria",28.0339,1.6596,"3/20/20","confirmed",90
"374","Algeria",28.0339,1.6596,"3/20/20","deaths",11
"375","Algeria",28.0339,1.6596,"3/21/20","confirmed",139
"376","Algeria",28.0339,1.6596,"3/21/20","deaths",15
"377","Algeria",28.0339,1.6596,"3/22/20","confirmed",201
"378","Algeria",28.0339,1.6596,"3/22/20","deaths",17
"379","Algeria",28.0339,1.6596,"3/23/20","confirmed",230
"380","Algeria",28.0339,1.6596,"3/23/20","deaths",17
"381","Algeria",28.0339,1.6596,"3/24/20","confirmed",264
"382","Algeria",28.0339,1.6596,"3/24/20","deaths",19
"383","Algeria",28.0339,1.6596,"3/25/20","confirmed",302
"384","Algeria",28.0339,1.6596,"3/25/20","deaths",21
"385","Andorra",42.5063,1.5218,"1/22/20","confirmed",0
"386","Andorra",42.5063,1.5218,"1/22/20","deaths",0
"387","Andorra",42.5063,1.5218,"1/23/20","confirmed",0
"388","Andorra",42.5063,1.5218,"1/23/20","deaths",0
"389","Andorra",42.5063,1.5218,"1/24/20","confirmed",0
"390","Andorra",42.5063,1.5218,"1/24/20","deaths",0
"391","Andorra",42.5063,1.5218,"1/25/20","confirmed",0
"392","Andorra",42.5063,1.5218,"1/25/20","deaths",0
"393","Andorra",42.5063,1.5218,"1/26/20","confirmed",0
"394","Andorra",42.5063,1.5218,"1/26/20","deaths",0
"395","Andorra",42.5063,1.5218,"1/27/20","confirmed",0
"396","Andorra",42.5063,1.5218,"1/27/20","deaths",0
"397","Andorra",42.5063,1.5218,"1/28/20","confirmed",0
"398","Andorra",42.5063,1.5218,"1/28/20","deaths",0
"399","Andorra",42.5063,1.5218,"1/29/20","confirmed",0
"400","Andorra",42.5063,1.5218,"1/29/20","deaths",0
"401","Andorra",42.5063,1.5218,"1/30/20","confirmed",0
"402","Andorra",42.5063,1.5218,"1/30/20","deaths",0
