"","province_state","country_region","lat","long","date","status","cases"
"291",NA,"Albania",41.1533,20.1683,"1/29/20","recovered",0
"292",NA,"Albania",41.1533,20.1683,"1/29/20","active",0
"293",NA,"Albania",41.1533,20.1683,"1/30/20","confirmed",0
"294",NA,"Albania",41.1533,20.1683,"1/30/20","deaths",0
"295",NA,"Albania",41.1533,20.1683,"1/30/20","recovered",0
"296",NA,"Albania",41.1533,20.1683,"1/30/20","active",0
"297",NA,"Albania",41.1533,20.1683,"1/31/20","confirmed",0
"298",NA,"Albania",41.1533,20.1683,"1/31/20","deaths",0
"299",NA,"Albania",41.1533,20.1683,"1/31/20","recovered",0
"300",NA,"Albania",41.1533,20.1683,"1/31/20","active",0
"301",NA,"Albania",41.1533,20.1683,"2/1/20","confirmed",0
"302",NA,"Albania",41.1533,20.1683,"2/1/20","deaths",0
"303",NA,"Albania",41.1533,20.1683,"2/1/20","recovered",0
"304",NA,"Albania",41.1533,20.1683,"2/1/20","active",0
"305",NA,"Albania",41.1533,20.1683,"2/2/20","confirmed",0
"306",NA,"Albania",41.1533,20.1683,"2/2/20","deaths",0
"307",NA,"Albania",41.1533,20.1683,"2/2/20","recovered",0
"308",NA,"Albania",41.1533,20.1683,"2/2/20","active",0
"309",NA,"Albania",41.1533,20.1683,"2/3/20","confirmed",0
"310",NA,"Albania",41.1533,20.1683,"2/3/20","deaths",0
"311",NA,"Albania",41.1533,20.1683,"2/3/20","recovered",0
"312",NA,"Albania",41.1533,20.1683,"2/3/20","active",0
"313",NA,"Albania",41.1533,20.1683,"2/4/20","confirmed",0
"314",NA,"Albania",41.1533,20.1683,"2/4/20","deaths",0
"315",NA,"Albania",41.1533,20.1683,"2/4/20","recovered",0
"316",NA,"Albania",41.1533,20.1683,"2/4/20","active",0
"317",NA,"Albania",41.1533,20.1683,"2/5/20","confirmed",0
"318",NA,"Albania",41.1533,20.1683,"2/5/20","deaths",0
"319",NA,"Albania",41.1533,20.1683,"2/5/20","recovered",0
"320",NA,"Albania",41.1533,20.1683,"2/5/20","active",0
"321",NA,"Albania",41.1533,20.1683,"2/6/20","confirmed",0
"322",NA,"Albania",41.1533,20.1683,"2/6/20","deaths",0
"323",NA,"Albania",41.1533,20.1683,"2/6/20","recovered",0
"324",NA,"Albania",41.1533,20.1683,"2/6/20","active",0
"325",NA,"Albania",41.1533,20.1683,"2/7/20","confirmed",0
"326",NA,"Albania",41.1533,20.1683,"2/7/20","deaths",0
"327",NA,"Albania",41.1533,20.1683,"2/7/20","recovered",0
"328",NA,"Albania",41.1533,20.1683,"2/7/20","active",0
"329",NA,"Albania",41.1533,20.1683,"2/8/20","confirmed",0
"330",NA,"Albania",41.1533,20.1683,"2/8/20","deaths",0
"331",NA,"Albania",41.1533,20.1683,"2/8/20","recovered",0
"332",NA,"Albania",41.1533,20.1683,"2/8/20","active",0
"333",NA,"Albania",41.1533,20.1683,"2/9/20","confirmed",0
"334",NA,"Albania",41.1533,20.1683,"2/9/20","deaths",0
"335",NA,"Albania",41.1533,20.1683,"2/9/20","recovered",0
"336",NA,"Albania",41.1533,20.1683,"2/9/20","active",0
"337",NA,"Albania",41.1533,20.1683,"2/10/20","confirmed",0
"338",NA,"Albania",41.1533,20.1683,"2/10/20","deaths",0
"339",NA,"Albania",41.1533,20.1683,"2/10/20","recovered",0
"340",NA,"Albania",41.1533,20.1683,"2/10/20","active",0
"341",NA,"Albania",41.1533,20.1683,"2/11/20","confirmed",0
"342",NA,"Albania",41.1533,20.1683,"2/11/20","deaths",0
"343",NA,"Albania",41.1533,20.1683,"2/11/20","recovered",0
"344",NA,"Albania",41.1533,20.1683,"2/11/20","active",0
"345",NA,"Albania",41.1533,20.1683,"2/12/20","confirmed",0
"346",NA,"Albania",41.1533,20.1683,"2/12/20","deaths",0
"347",NA,"Albania",41.1533,20.1683,"2/12/20","recovered",0
"348",NA,"Albania",41.1533,20.1683,"2/12/20","active",0
"349",NA,"Albania",41.1533,20.1683,"2/13/20","confirmed",0
"350",NA,"Albania",41.1533,20.1683,"2/13/20","deaths",0
"351",NA,"Albania",41.1533,20.1683,"2/13/20","recovered",0
"352",NA,"Albania",41.1533,20.1683,"2/13/20","active",0
"353",NA,"Albania",41.1533,20.1683,"2/14/20","confirmed",0
"354",NA,"Albania",41.1533,20.1683,"2/14/20","deaths",0
"355",NA,"Albania",41.1533,20.1683,"2/14/20","recovered",0
"356",NA,"Albania",41.1533,20.1683,"2/14/20","active",0
"357",NA,"Albania",41.1533,20.1683,"2/15/20","confirmed",0
"358",NA,"Albania",41.1533,20.1683,"2/15/20","deaths",0
"359",NA,"Albania",41.1533,20.1683,"2/15/20","recovered",0
"360",NA,"Albania",41.1533,20.1683,"2/15/20","active",0
"361",NA,"Albania",41.1533,20.1683,"2/16/20","confirmed",0
"362",NA,"Albania",41.1533,20.1683,"2/16/20","deaths",0
"363",NA,"Albania",41.1533,20.1683,"2/16/20","recovered",0
"364",NA,"Albania",41.1533,20.1683,"2/16/20","active",0
"365",NA,"Albania",41.1533,20.1683,"2/17/20","confirmed",0
"366",NA,"Albania",41.1533,20.1683,"2/17/20","deaths",0
"367",NA,"Albania",41.1533,20.1683,"2/17/20","recovered",0
"368",NA,"Albania",41.1533,20.1683,"2/17/20","active",0
"369",NA,"Albania",41.1533,20.1683,"2/18/20","confirmed",0
